Role;Fichier;Objet;Taille (o);Modifie;SHA-256 (16)
Contrat;.claude/CLAUDE.md;Contrat d'exploitation de la plateforme;63059;2026-08-29;eefdcf5c79d53511
Contrat;AGENTS.md;Contrat d'agent universel;3540;2026-08-28;e258b3cc90de2a14
Infrastructure;docker-compose.yml;Définition des services et volumes;4166;2026-08-29;d60af63eaaa60b59
Configuration;.env.example;Modèle de fichier d'environnement;3051;2026-08-29;f70ad0c51a6d67ab
Configuration;litellm_config.yaml;Modèles, routeurs, fallbacks — mi-généré, mi-manuel;33080;2026-08-29;96c602b7fce82bf7
Inventaire;cloud_models.txt;Catalogue Ollama Cloud, généré, droits annotés;1068;2026-08-29;28d73b327162ed4a
Inventaire;model_list.txt;Modèles locaux à télécharger;583;2026-08-27;7ad5bf3484b00918
Pont;.mcp.json;Déclaration du serveur MCP pour Claude Code;311;2026-08-29;3d8aee915dd1ab43
Pont;Set-ClaudeModel.ps1;Choix explicite du mode d'exécution de Claude Code;9776;2026-08-29;e22aede9ce5d3331
Pont;tools/nexus-mcp/server.js;Serveur MCP : les modèles comme outils;79374;2026-08-29;83ea15431cd8bef7
Génération;scripts/Update-NexusModels.ps1;Orchestrateur de mise à jour;8862;2026-08-29;d48fc00a503f02db
Génération;scripts/nexus_generate.py;Régénère les zones AUTOGEN;40784;2026-08-29;313b11a242f4cdc7
Vérification;scripts/Test-NexusConfig.ps1;Enveloppe du validateur;1152;2026-08-29;ffb1d223bd5b23d5
Vérification;scripts/Test-NexusSmoke.ps1;Smoke test runtime;5493;2026-08-29;8d78c4db6071a802
Vérification;scripts/nexus_capability.py;Profil matériel et verdict par modèle;23721;2026-08-29;aa1349a15c746e19
Vérification;scripts/nexus_mcp_probe.py;Sonde les outils du pont MCP;4168;2026-08-29;848a574aea6a4f49
Vérification;scripts/nexus_test.py;Suite forward / reverse / policy / code;52943;2026-08-29;ea2c0d41181ed56b
Vérification;scripts/nexus_validate.py;Intégrité — bloque tout redémarrage douteux;19576;2026-08-29;388a1c1ca8fc161a
Migration;scripts/nexus_migration_plan.py;Plan de sortie des modèles hors de Docker;11571;2026-08-29;b23d53229d20839e
Migration;scripts/nexus_switch_engine.py;Bascule le moteur Docker ↔ hôte;7874;2026-08-29;761eff71e627239c
Automatisation;scripts/Register-NexusAutoUpdate.ps1;Tâche planifiée quotidienne;4846;2026-08-29;de88739da6a7970a
Exploitation;scripts/backup.ps1;Sauvegarde configuration et volumes;4118;2026-08-29;fe3343b015ad4e70
Exploitation;scripts/restore.ps1;Restauration;2235;2026-08-27;c28037d99bfe2eab
Exploitation;scripts/start.ps1;Démarrage de la pile;5855;2026-08-29;c7c60aacc4a0449f
Exploitation;scripts/stop.ps1;Arrêt de la pile;929;2026-08-27;c9a0c2e767975eb5
Rituel;rituels/BOUSSOLE.md;Cet index;24325;2026-08-29;5adc799d7f66b67f
Rituel;rituels/CHECKLIST_COCKPIT.MD;Sujets ouverts;14145;2026-08-29;013b5b576bee7efa
Rituel;rituels/PROGRESS.md;Historique des décisions et des erreurs;9645;2026-08-29;12e90e1e05c99d5c
Rituel;rituels/RESUME.ps1;Reprise de session;2848;2026-08-29;7714dfe8b4c7c548
Rituel;rituels/STATE.md;État mesuré — généré, ne pas éditer;2592;2026-08-29;550107fca2ec25d3
Rituel;scripts/nexus_boussole.py;Régénère cette boussole;8600;2026-08-29;24acb7c304f608f5
Rituel;scripts/nexus_state.py;Régénère STATE.md par mesure;8937;2026-08-29;85ed379552c2d10c
Documentation;README.md;Vue d'ensemble et installation;11260;2026-08-29;1d896517383e8a2e
Documentation;docs/pont-local-abonnement.md;Associer modèles locaux et abonnement;15487;2026-08-29;c99bdaf7c7ad0b78
Architecture;.claude/worktrees/agent-a653df9057bc132d9/.claude/CLAUDE.md;;63059;2026-08-29;eefdcf5c79d53511
Architecture;.claude/worktrees/agent-a653df9057bc132d9/.env.example;;2378;2026-08-29;c18e773b896c3408
Architecture;.claude/worktrees/agent-a653df9057bc132d9/.git;;67;2026-08-29;efe9bca285aed023
Architecture;.claude/worktrees/agent-a653df9057bc132d9/.gitattributes;;1046;2026-08-29;b6b90b72d26b36e7
Architecture;.claude/worktrees/agent-a653df9057bc132d9/.gitignore;;153;2026-08-29;e535aa660e5d2af8
Architecture;.claude/worktrees/agent-a653df9057bc132d9/.mcp.json;;311;2026-08-29;3d8aee915dd1ab43
Architecture;.claude/worktrees/agent-a653df9057bc132d9/AGENTS.md;;3292;2026-08-29;e21cd2bae8539810
Architecture;.claude/worktrees/agent-a653df9057bc132d9/LICENSE;;34523;2026-08-29;0d96a4ff68ad6d4b
Architecture;.claude/worktrees/agent-a653df9057bc132d9/README.md;;10830;2026-08-29;5636d3b99b61d76b
Architecture;.claude/worktrees/agent-a653df9057bc132d9/Set-ClaudeModel.ps1;;9056;2026-08-29;4a0081170aa41da1
Architecture;.claude/worktrees/agent-a653df9057bc132d9/Start-Claude.ps1;;5719;2026-08-29;48d9c212d56e26a2
Architecture;.claude/worktrees/agent-a653df9057bc132d9/cloud_models.txt;Note d'architecture;551;2026-08-29;c410c5b7d084ea58
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docker-compose.yml;;3480;2026-08-29;cc1352d7cc8182db
